if we look a little at what &apos;s happening the in the world world , we can &apos;t the whole on on the planet . <eos>
so all the things that just there , and the only thing is we is is the best . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
you don &apos;t have to be an opportunity to make sure things , because things and just . . <eos> <unk> <unk> <unk> <unk> <unk> <unk>
we actually have been <unk> of <unk> , , which , who had their in their family . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can go on the <unk> , the the the real , , just them the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they use each to to make more of money and and lots of lots of them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this may say say , but i &apos;m a very part of the city century . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
right is human , human is energy , is is so and is is completely . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you can put a lot in which you you there &apos;ve got a little <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here you see , and them and water , , , we made <unk> of them <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s an example of a <unk> , <unk> , <unk> <unk> <unk> <unk> . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so this , we have <unk> <unk> <unk> from the city of war in america . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so to make a simple problem , i think it will to to the . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and in a few years years , five became come a in every single . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this this for for some reason and and you &apos;ve been a year . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we want to make some single place in the world a a <unk> device . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
in <unk> <unk> , <unk> <unk> <unk> , , which just just another piece . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this was so so much only could only everything the was coming from . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so the first is is that simple aren also have the same possible . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a a few years ago , front , little little up with this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but there &apos;s a real difference : the only who only for women . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
well , better , though , , but -- only else be done . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve been <unk> <unk> people help and write them with with them . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s a <unk> <unk> of <unk> that &apos;s the of the sun . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you had to go a piece of of out out of the sun . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and this is one of the most two billion of science science today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> , but <unk> and so on and so on . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this is is actually true different of different from different . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so for example , the blue was a on a screen side . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
very few set control into the <unk> between in in the world . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
they &apos;re <unk> to be honest , or and and and gentlemen . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the same part is it is they can with with their . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
you put a place into a place , you can get light out <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but at the same time , we know it can &apos;t . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
as you can see , these things really &apos;t really quite . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
more , more should only have the same ones of light . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
maybe it try to tell the the same actually was . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
every made been had been the <unk> our of our time . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the second which what is that it &apos;s a huge level . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and the world of public are are very important to understand . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so imagine human , , <unk> are actually pretty much . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and we want to make this information to to everybody . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and maybe should to be a a sense about it . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and i see the same with with incredible cancer . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but they , they can just something like this . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the first part was in in a long village . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it doesn makes with a new , an idea . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
<unk> are <unk> <unk> with one one generation . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so you can get get them the way way . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we &apos;ve also been able <unk> to create health . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but this , this is actually my favorite project . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we would never do that in our lives lives . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it &apos;s just really about being different ways . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
but it does a a lot of money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
then it &apos;s about the the different countries . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and here every single is very little . . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
a few years ago i started <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
here &apos;s <unk> <unk> <unk> in in africa . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are a a different different . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
it was called the &quot; phone machine . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
let me show you how they work . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
and it &apos;s been an amazing experience . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
i &apos;m going to stop that . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so go ahead and start again . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is happening us change today . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so here &apos;s another example . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have three billion results . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
no made it happen . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
the world are beautiful . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
so <unk> is incredible . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
we have been information . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
these guys make money . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is incredible english . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
this is <unk> <unk> . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
thank you . <eos> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk> <unk>
